"","fire","crew","date","plot.no","basal.area.mortality","no.dead.trees","large.regen.plot","saplings","median.sapling.height","native.shrub.cover","native.herb.cover","dominant.shrub.herb","median.shrub.height","nearest.tree","photo.id","notes","Easting","Northing","BurnClass","plot_area_ha","sapling_density_ha"
"48","crater","AB,SK",2019-09-05,64,100,"1","YES",2,"4","15","60","STHY","90","62","CI64",NA,326450,4196800,"High",0.05,40
"49","crater","AB,SK",2019-09-05,65,100,"7","YES",0,"0","1","80","STHY","75","49","CI65",NA,326500,4196800,"High",0.05,0
"50","crater","AB,SK",2019-09-05,67,100,"1","YES",0,"0","35","45","RR, STHY","90","28","CI67",NA,326600,4196800,"High",0.05,0
"51","crater","AB,SK",2019-09-05,68,100,"3","YES",1,"1.5","3","75","STHY","130","64","CI68",NA,326650,4196800,"High",0.05,20
"52","crater","AB,SK",2019-09-05,69,100,"8","YES",5,"4","4","75","STHY","150","27","CI69",NA,326700,4196800,"High",0.05,100
"53","crater","AB,SK",2019-09-05,70,100,"3","YES",2,"3","20","55","STHY, AB","155","55","CI70",NA,326750,4196800,"High",0.05,40
"54","crater","AB,SK",2019-09-05,71,100,"3","YES",0,"0","5","80","GADI","145","97","CI71",NA,326800,4196800,"High",0.05,0
"55","crater","AB,SK",2019-09-04,72,100,"6","NO",8,"3","5","15","STHY","65","20","CI72",NA,326000,4196750,"Moderate",0.09,88.8888888888889
"56","crater","AB,SK",2019-09-04,73,100,"1","YES",0,"0","2","60","STHY","70","49","CI73",NA,326050,4196750,"High",0.05,0
"57","crater","AB,SK",2019-09-04,74,100,"1","YES",0,"0","35","50","STHY","80","35","CI74",NA,326100,4196750,"High",0.05,0
"58","crater","AB,SK",2019-09-04,75,100,"1","YES",0,"0","15","65","STHY","110","13","CI75",NA,326150,4196750,"High",0.05,0
"59","crater","AB,SK",2019-09-04,76,100,"2","YES",0,"0","10","70","STHY","140","37","CI76",NA,326200,4196750,"High",0.05,0
"60","crater","AB,SK",2019-09-04,77,100,"4","YES",1,"3.5","25","60","RR","80","84","CI77",NA,326250,4196750,"High",0.05,20
"61","crater","AB,SK",2019-09-04,78,100,"12","YES",0,"0","15","65","STHY","110","120","CI78",NA,326300,4196750,"High",0.05,0
"62","crater","AB,SK",2019-09-05,79,75,"3","YES",1,"3.5","5","70","GRUNK6","75","9","CI79",NA,326450,4196750,"Moderate",0.05,20
"63","crater","AB,SK",2019-09-05,80,75,"3","YES",1,"3","5","50","STOC","135","3","CI80",NA,326500,4196750,"High",0.05,20
"64","crater","AB,SK",2019-09-05,81,100,"6","YES",3,"4","0","65","STHY","NA","54","CI81",NA,326550,4196750,"High",0.05,60
"65","crater","AB,SK",2019-09-05,82,100,"2","YES",1,"3","2","60","STHY","145","77","CI82",NA,326600,4196750,"High",0.05,20
"66","crater","AB,SK",2019-09-05,83,100,"6","YES",1,"2","1","75","STCO","75","99","CI83",NA,326650,4196750,"High",0.05,20
"67","crater","AB,SK",2019-09-05,84,100,"8","YES",1,"3","4","75","STHY","150","77","CI84",NA,326700,4196750,"High",0.05,20
"68","crater","AB,SK",2019-09-05,85,100,"4","YES",0,"0","1","75","STHY","140","92","CI85",NA,326750,4196750,"High",0.05,0
"69","crater","AB,SK",2019-09-05,86,100,"1","YES",0,"0","20","70","GADI","150","123","CI86",NA,326800,4196750,"High",0.05,0
"70","crater","AB,SK",2019-09-04,88,100,"3","YES",2,"3.5","7","5","RR","75","13","CI88",NA,326000,4196700,"Moderate",0.05,40
"71","crater","AB,SK",2019-09-04,89,100,"2","YES",1,"3","15","60","STHY","140","61","CI89",NA,326050,4196700,"High",0.05,20
"72","crater","AB,SK",2019-09-04,90,100,"10","NO",4,"3.5","15","55","STHY","85","82","CI90",NA,326100,4196700,"High",0.09,44.4444444444444
"73","crater","AB,SK",2019-09-04,91,100,"9","YES",4,"1.5","15","60","STHY","115","64","CI91",NA,326150,4196700,"High",0.05,80
"74","crater","AB,SK",2019-09-04,94,100,"17","YES",1,"2","50","40","RR","95","110","CI94",NA,326300,4196700,"High",0.05,20
"75","crater","AB,SK",2019-09-05,96,100,"3","YES",0,"0","10","65","STHY, GADI","105","52","CI96",NA,326500,4196700,"High",0.05,0
"76","crater","AB,SK",2019-09-05,97,100,"6","YES",1,"3","4","70","GRUNK5","150","75","CI97",NA,326550,4196700,"High",0.05,20
"77","crater","AB,SK",2019-09-05,98,100,"2","YES",0,"0","1","65","STHY","75","115","CI98",NA,326600,4196700,"High",0.05,0
"78","crater","AB,SK",2019-09-05,99,100,"7","YES",2,"4","0","65","GRUNK5","NA","145","CI99",NA,326650,4196700,"High",0.05,40
"79","crater","AB,SK",2019-09-05,100,100,"6","YES",2,"3","1","80","STCO","55","128","CI100",NA,326700,4196700,"High",0.05,40
"80","crater","AB,SK",2019-09-05,101,100,"4","YES",0,"0","2","85","STCO","135","135","CI101",NA,326750,4196700,"High",0.05,0
"81","crater","AB,SK",2019-09-05,102,100,"8","YES",0,"0","7","70","STHY, STOC","160","200","CI102",NA,326800,4196700,"High",0.05,0
"82","crater","AB,SK",2019-09-05,103,100,"2","YES",0,"0","5","75","STCO, STHY","140","200","CI103",NA,326850,4196700,"High",0.05,0
"83","crater","AB,SK",2019-09-04,105,100,"1","YES",0,"0","2","65","STHY","50","72","CI105",NA,326050,4196650,"High",0.05,0
"84","crater","AB,SK",2019-09-04,106,100,"5","YES",0,"0","5","65","STHY, GRUNK5","120","121","CI106",NA,326100,4196650,"High",0.05,0
"85","crater","AB,SK",2019-09-04,107,100,"8","YES",0,"0","5","75","STOC","145","110","CI107",NA,326150,4196650,"High",0.05,0
"86","crater","AB,SK",2019-09-04,108,100,"4","YES",0,"0","15","60","STHY","85","121","CI108",NA,326200,4196650,"High",0.05,0
"87","crater","AB,SK",2019-09-04,109,100,"2","YES",0,"0","20","60","AB, STHY","150","101","CI109",NA,326250,4196650,"High",0.05,0
"88","crater","AB,SK",2019-09-04,110,100,"6","YES",1,"3.5","20","55","RR","70","64","CI110",NA,326300,4196650,"High",0.05,20
"89","crater","AB,SK",2019-09-05,112,100,"2","YES",0,"0","50","35","AB","140","24","CI112",NA,326500,4196650,"High",0.05,0
"90","crater","AB,SK",2019-09-05,113,100,"5","YES",0,"0","3","75","STCO, GRUNK5","120","74","CI113",NA,326550,4196650,"High",0.05,0
"91","crater","AB,SK",2019-09-05,114,100,"2","YES",0,"0","0.5","80","STHY, GADI","30","125","CI114",NA,326600,4196650,"High",0.05,0
"92","crater","AB,SK",2019-09-05,115,100,"6","YES",1,"3","0","70","STHY, GRUNK5","NA","189","CI115",NA,326650,4196650,"High",0.05,20
"93","crater","AB,SK",2019-09-05,116,100,"10","YES",0,"0","1","65","STHY","140","200","CI116",NA,326700,4196650,"High",0.05,0
"94","crater","AB,SK",2019-09-05,117,100,"9","YES",2,"4","0.5","65","STHY","50","200","CI117",NA,326750,4196650,"High",0.05,40
"95","crater","AB,SK",2019-09-05,118,100,"8","YES",0,"0","1","80","STHY","95","200","CI118",NA,326800,4196650,"High",0.05,0
"96","crater","AB,SK",2019-09-04,121,100,"12","NO",4,"3.5","10","60","GRUNK5","165","77","CI121",NA,326050,4196600,"High",0.09,44.4444444444444
"97","crater","AB,SK",2019-09-04,122,100,"24","YES",2,"3","3","65","GADI","110","127","CI122",NA,326100,4196600,"High",0.05,40
"98","crater","AB,SK",2019-09-04,123,100,"19","YES",1,"4","15","75","GADI","55","184","CI123",NA,326150,4196600,"High",0.05,20
"99","crater","AB,SK",2019-09-04,124,100,"8","YES",2,"2.5","10","65","AB","170","134","CI124",NA,326200,4196600,"High",0.05,40
"100","crater","AB,SK",2019-09-04,125,100,"4","YES",0,"0","4","50","STHY","65","84","CI125",NA,326250,4196600,"High",0.05,0
"101","crater","AB,SK",2019-09-04,126,100,"13","YES",2,"2.5","5","55","GRUNK5","145","35","CI126",NA,326300,4196600,"High",0.05,40
"102","crater","AB,SK",2019-09-05,128,100,"8","YES",1,"1.5","12","70","STCO","120","54","CI128",NA,326500,4196600,"High",0.05,20
"103","crater","AB,SK",2019-09-05,129,100,"1","YES",0,"0","5","80","STCO","115","89","CI129",NA,326550,4196600,"High",0.05,0
"104","crater","AB,SK",2019-09-05,130,100,"7","YES",0,"0","3","70","GADI, STHY","110","131","CI130",NA,326600,4196600,"High",0.05,0
"105","crater","AB,SK",2019-09-05,131,100,"1","YES",0,"0","30","60","STCO","130","200","CI131",NA,326650,4196600,"High",0.05,0
"106","crater","AB,SK",2019-09-05,132,100,"2","YES",0,"0","15","65","STHY, AB","150","200","CI132",NA,326700,4196600,"High",0.05,0
"107","crater","AB,SK",2019-09-05,133,100,"4","YES",1,"4.5","0","75","STHY, GRUNK5","NA","200","CI133",NA,326750,4196600,"High",0.05,20
"108","crater","AB,SK",2019-09-05,134,100,"1","YES",0,"0","2","75","STHY, GRUNK5","100","200","CI134",NA,326800,4196600,"High",0.05,0
"109","crater","AB,SK",2019-09-05,135,100,"2","YES",0,"0","5","75","STOC","150","200","CI135",NA,326850,4196600,"High",0.05,0
"110","crater","AB,SK",2019-09-04,136,100,"18","YES",2,"2","25","45","RR","70","46","CI136",NA,326000,4196550,"High",0.05,40
"111","crater","AB,SK",2019-09-04,137,100,"11","YES",2,"2","7","65","STOC","75","87","CI137",NA,326050,4196550,"High",0.05,40
"112","crater","AB,SK",2019-09-04,138,100,"11","YES",1,"3","25","45","AB, RR","90","130","CI138",NA,326100,4196550,"High",0.05,20
"113","crater","AB,SK",2019-09-04,139,100,"12","YES",1,"1.5","25","55","RR","60","200","CI139",NA,326150,4196550,"High",0.05,20
"114","crater","AB,SK",2019-09-04,140,100,"12","NO",3,"3.5","20","45","RR","70","127","CI140",NA,326200,4196550,"High",0.09,33.3333333333333
"115","crater","AB,SK",2019-09-04,141,100,"5","YES",1,"3.5","30","40","RR","90","89","CI141",NA,326250,4196550,"High",0.05,20
"116","crater","AB,SK",2019-09-04,142,100,"18","NO",3,"4","30","45","RR","95","61","CI142",NA,326300,4196550,"High",0.09,33.3333333333333
"117","crater","AB,SK",2019-09-05,144,100,"11","YES",4,"4","10","50","GADI, STHY","60","85","CI144",NA,326500,4196550,"High",0.05,80
"118","crater","AB,SK",2019-09-05,145,100,"8","YES",1,"3.5","1","70","STHY","55","122","CI145",NA,326550,4196550,"High",0.05,20
"119","crater","AB,SK",2019-09-05,146,100,"3","YES",1,"4","1","60","STHY","125","159","CI146",NA,326600,4196550,"High",0.05,20
"120","crater","AB,SK",2019-09-05,147,100,"7","YES",0,"0","10","65","STHY","145","200","CI147",NA,326650,4196550,"High",0.05,0
"121","crater","AB,SK",2019-09-05,148,100,"5","YES",0,"0","3","70","STCO","120","200","CI148",NA,326700,4196550,"High",0.05,0
"122","crater","AB,SK",2019-09-05,149,100,"3","YES",0,"0","4","75","STCO","145","200","CI149",NA,326750,4196550,"High",0.05,0
"123","crater","AB,SK",2019-09-05,150,100,"3","YES",0,"0","2","80","STOC","120","200","CI150",NA,326800,4196550,"High",0.05,0
"124","crater","AB,SK",2019-09-05,151,100,"5","YES",0,"0","2","75","STHY","75","200","CI151",NA,326850,4196550,"High",0.05,0
"125","crater","AB,SK",2019-09-05,152,100,"6","YES",0,"0","3","70","GADI","75","200","CI152",NA,326900,4196550,"High",0.05,0
"126","crater","AB,SK",2019-09-04,153,100,"13","NO",12,"2","50","5","RR","80","21","CI153",NA,326000,4196500,"High",0.09,133.333333333333
"127","crater","AB,SK",2019-09-04,154,100,"25","YES",10,"3","45","30","RR","130","70","CI154",NA,326050,4196500,"High",0.05,200
"128","crater","AB,SK",2019-09-04,155,100,"12","YES",4,"2.5","20","65","GADI, RR","110","118","CI155",NA,326100,4196500,"High",0.05,80
"129","crater","AB,SK",2019-09-04,156,100,"2","YES",2,"3","25","70","AB, GADI","170","154","CI156",NA,326150,4196500,"High",0.05,40
"130","crater","AB,SK",2019-09-04,157,100,"9","YES",1,"4","15","60","GRUNK5","85","107","CI157",NA,326200,4196500,"High",0.05,20
"131","crater","AB,SK",2019-09-04,158,100,"2","YES",0,"0","2","70","GADI","120","57","CI158",NA,326250,4196500,"High",0.05,0
"132","crater","AB,SK",2019-09-04,159,100,"4","YES",0,"0","5","70","STHY","190","16","CI159",NA,326300,4196500,"High",0.05,0
"133","crater","AB,SK",2019-09-05,161,100,"1","YES",0,"0","45","30","AB, RR","55","136","CI161",NA,326500,4196500,"High",0.05,0
"134","crater","AB,SK",2019-09-05,162,100,"7","YES",0,"0","2","75","STCO","65","156","CI162",NA,326550,4196500,"High",0.05,0
"135","crater","AB,SK",2019-09-05,163,100,"6","YES",0,"0","5","65","STHY","120","200","CI163",NA,326600,4196500,"High",0.05,0
"136","crater","AB,SK",2019-09-05,164,100,"6","YES",0,"0","2","80","STCO","90","200","CI164",NA,326650,4196500,"High",0.05,0
"137","crater","AB,SK",2019-09-05,165,100,"8","YES",0,"0","10","80","STCO","80","200","CI165",NA,326700,4196500,"High",0.05,0
"138","crater","AB,SK",2019-09-05,166,100,"5","YES",0,"0","4","65","STCO, STHY","85","200","CI166",NA,326750,4196500,"High",0.05,0
"139","crater","AB,SK",2019-09-05,167,100,"4","YES",0,"0","0.5","85","STCO","120","200","CI167",NA,326800,4196500,"High",0.05,0
"140","crater","AB,SK",2019-09-05,168,100,"8","YES",0,"0","2","75","STHY, GRUNK5","115","200","CI168",NA,326850,4196500,"High",0.05,0
"141","crater","AB,SK",2019-09-05,169,100,"5","YES",0,"0","7","70","STCO","120","200","CI169",NA,326900,4196500,"High",0.05,0
"142","crater","AB,SK",2019-09-04,170,100,"22","NO",10,"3.5","25","55","RR","70","74","CI170",NA,326050,4196450,"High",0.09,111.111111111111
"143","crater","AB,SK",2019-09-04,171,100,"10","YES",2,"3","6","60","GADI","75","120","CI171",NA,326100,4196450,"High",0.05,40
"144","crater","AB,SK",2019-09-04,172,100,"11","YES",0,"0","20","65","GADI, RR","85","171","CI172",NA,326150,4196450,"High",0.05,0
"145","crater","AB,SK",2019-09-04,173,100,"12","YES",2,"3.5","25","55","RR","70","108","CI173",NA,326200,4196450,"High",0.05,40
"146","crater","AB,SK",2019-09-04,174,100,"4","YES",0,"0","17","55","GRUNK5","120","62","CI174",NA,326250,4196450,"High",0.05,0
"147","crater","AB,SK",2019-09-04,175,100,"4","YES",0,"0","0.5","80","STHY","40","30","CI175",NA,326300,4196450,"High",0.05,0
"148","crater","AB,SK",2019-09-05,177,100,"4","YES",0,"0","10","80","STCO","50","135","CI177",NA,326500,4196450,"High",0.05,0
"149","crater","AB,SK",2019-09-05,178,100,"8","YES",1,"4","2","70","STCO, GRUNK5","80","185","CI178",NA,326550,4196450,"High",0.05,20
"150","crater","AB,SK",2019-09-05,179,100,"7","YES",1,"4","3","70","STCO","130","200","CI179",NA,326600,4196450,"High",0.05,20
"151","crater","AB,SK",2019-09-05,180,100,"2","YES",0,"0","1","65","GRUNK6","105","200","CI180",NA,326650,4196450,"High",0.05,0
"152","crater","AB,SK",2019-09-05,181,100,"7","YES",0,"0","4","70","STHY","130","200","CI181",NA,326700,4196450,"High",0.05,0
"153","crater","AB,SK",2019-09-05,182,100,"3","YES",0,"0","7","75","GADI","95","200","CI182",NA,326750,4196450,"High",0.05,0
"154","crater","AB,SK",2019-09-05,183,100,"4","YES",0,"0","15","75","STCO","120","200","CI183",NA,326800,4196450,"High",0.05,0
"155","crater","AB,SK",2019-09-05,184,100,"13","YES",0,"0","3","85","STCO","145","200","CI184",NA,326850,4196450,"High",0.05,0
"156","crater","AB,SK",2019-09-05,185,100,"8","YES",0,"0","1","65","STHY, STCO","135","200","CI185",NA,326900,4196450,"High",0.05,0
"157","crater","AB,SK",2019-09-05,186,100,"3","YES",0,"0","7","70","STHY","95","200","CI186",NA,326950,4196450,"High",0.05,0
"158","crater","AB,SK",2019-09-04,187,100,"7","YES",3,"3.5","25","55","GADI, RR","70","163","CI187",NA,326100,4196400,"High",0.05,60
"159","crater","AB,SK",2019-09-04,188,100,"11","YES",2,"4","20","50","RR","80","176","CI188",NA,326150,4196400,"High",0.05,40
"160","crater","AB,SK",2019-09-04,189,100,"7","YES",0,"0","4","75","STOC","90","125","CI189",NA,326200,4196400,"High",0.05,0
"161","crater","AB,SK",2019-09-04,190,100,"1","YES",0,"0","1","90","STCO","100","78","CI190",NA,326250,4196400,"High",0.05,0
"162","crater","AB,SK",2019-09-04,191,100,"1","YES",0,"0","3","60","STHY","85","37","CI191",NA,326300,4196400,"High",0.05,0
"163","crater","AB,SK",2019-09-06,194,100,"2","YES",0,"0","60","20","RR","95","123","CI194",NA,326500,4196400,"High",0.05,0
"164","crater","AB,SK",2019-09-06,195,100,"10","YES",0,"0","2","75","STCO","75","174","CI195",NA,326550,4196400,"High",0.05,0
"165","crater","AB,SK",2019-09-06,196,100,"9","YES",1,"3","25","55","RR","95","200","CI196",NA,326600,4196400,"High",0.05,20
"166","crater","AB,SK",2019-09-06,197,100,"5","YES",1,"3","3","80","GADI","115","200","CI197",NA,326650,4196400,"High",0.05,20
"167","crater","AB,SK",2019-09-06,198,100,"2","YES",0,"0","5","80","STHY","100","200","CI198",NA,326700,4196400,"High",0.05,0
"168","crater","AB,SK",2019-09-06,199,100,"3","YES",0,"0","20","65","RR, STCO","130","200","CI199",NA,326750,4196400,"High",0.05,0
"169","crater","AB,SK",2019-09-06,200,100,"11","YES",2,"2.5","15","65","STCO","95","200","CI200",NA,326800,4196400,"High",0.05,40
"170","crater","AB,SK",2019-09-06,201,100,"5","YES",0,"0","7","60","STHY, GRUNK5","90","200","CI201",NA,326850,4196400,"High",0.05,0
"171","crater","AB,SK",2019-09-06,202,100,"2","YES",0,"0","0.5","65","STHY","30","200","CI202",NA,326900,4196400,"High",0.05,0
"172","crater","AB,SK",2019-09-06,203,100,"5","YES",0,"0","0","80","GADI, STCO","NA","200","CI203",NA,326950,4196400,"High",0.05,0
"173","crater","AB,SK",2019-09-06,204,100,"3","YES",0,"0","0.5","70","STCO","60","200","CI204",NA,327000,4196400,"High",0.05,0
"174","crater","AB,SK",2019-09-04,205,100,"7","YES",1,"4.5","20","65","GRUNK5","85","200","CI205",NA,326150,4196350,"High",0.05,20
"175","crater","AB,SK",2019-09-04,206,100,"1","YES",0,"0","5","80","GADI","80","147","CI206",NA,326200,4196350,"High",0.05,0
"176","crater","AB,SK",2019-09-04,207,100,"4","YES",0,"0","35","55","RR","120","102","CI207",NA,326250,4196350,"High",0.05,0
"177","crater","AB,SK",2019-09-04,208,100,"10","YES",0,"0","6","80","STOC","65","62","CI208",NA,326300,4196350,"High",0.05,0
"178","crater","AB,SK",2019-09-04,211,100,"8","YES",0,"0","0.5","80","STOC","30","200","CI211",NA,326550,4196350,"High",0.05,0
"179","crater","AB,SK",2019-09-04,212,100,"7","YES",1,"3","0.5","75","STHY","50","200","CI212",NA,326600,4196350,"High",0.05,20
"180","crater","AB,SK",2019-09-06,213,100,"5","YES",1,"1.5","0.5","65","STHY","45","200","CI213",NA,326650,4196350,"High",0.05,20
"181","crater","AB,SK",2019-09-06,214,100,"5","YES",1,"3.5","3","60","STOC","155","200","CI214",NA,326700,4196350,"High",0.05,20
"182","crater","AB,SK",2019-09-06,215,100,"3","YES",0,"0","8","80","STCO","155","200","CI215",NA,326750,4196350,"High",0.05,0
"183","crater","AB,SK",2019-09-06,216,100,"6","YES",0,"0","1","70","STHY","80","200","CI216",NA,326800,4196350,"High",0.05,0
"184","crater","AB,SK",2019-09-06,217,100,"8","YES",0,"0","2","75","STHY","65","200","CI217",NA,326850,4196350,"High",0.05,0
"185","crater","AB,SK",2019-09-06,218,100,"1","YES",0,"0","5","65","STHY","140","200","CI218",NA,326900,4196350,"High",0.05,0
"186","crater","AB,SK",2019-09-06,219,100,"20","YES",0,"0","0","75","STCO","NA","200","CI219",NA,326950,4196350,"High",0.05,0
"187","crater","AB,SK",2019-09-06,220,100,"11","YES",0,"0","0.5","70","STHY","40","174","CI220",NA,327000,4196350,"High",0.05,0
